"Servidor","ShareName","FolderPath","IdentityReference","FileSystemRights","AccessControlType","PSShowComputerName"
"SGCLOFILP01","T","P:\INCLOCLU01_T\T","SURAMERICANA\GS SR Administracion Distribuciones","Modify, Synchronize","Allow","True"
"SGCLOFILP01","T","P:\INCLOCLU01_T\T","BUILTIN\Users","CreateFiles, AppendData, Synchronize","Allow","True"
"SGCLOFILP01","T","P:\INCLOCLU01_T\T","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP01","UsuariosARP","P:\INCLOCLU01_U\U\Usuarios\UsuariosARP","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SGCLOFILP01","UsuariosARP","P:\INCLOCLU01_U\U\Usuarios\UsuariosARP","BUILTIN\Administrators","FullControl","Allow","True"
"SGCLOFILP01","UsuariosARP","P:\INCLOCLU01_U\U\Usuarios\UsuariosARP","SURAMERICANA\Domain Admins","FullControl","Allow","True"
"SGCLOFILP01","UsuariosARP","P:\INCLOCLU01_U\U\Usuarios\UsuariosARP","SURAMERICANA\GS IN Administradores Archivos y Carpetas","FullControl","Allow","True"
"SGCLOFILP01","UsuariosARP","P:\INCLOCLU01_U\U\Usuarios\UsuariosARP","SURAMERICANA\luismegl_aru_admda","FullControl","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","SURAMERICANA\Domain Admins","FullControl","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","SURAMERICANA\Domain Users","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","S-1-5-21-299502267-2000478354-725345543-33990","FullControl","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","SURAMERICANA\SSREGIONALCALI","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","SURAMERICANA\GS IN Administradores Archivos y Carpetas","FullControl","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","SURAMERICANA\msadmin02","FullControl","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","SURAMERICANA\GS SS CALI","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP01","UsuariosEPS","P:\INCLOCLU01_U\U\Usuarios\UsuariosEPS","SURAMERICANA\GS SS CALI TMP","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP01","UsuariosSR","P:\INCLOCLU01_U\U\Usuarios\UsuariosSR","NT AUTHORITY\SYSTEM","Modify, Synchronize","Allow","True"
"SGCLOFILP01","UsuariosSR","P:\INCLOCLU01_U\U\Usuarios\UsuariosSR","SURAMERICANA\Domain Admins","FullControl","Allow","True"
"SGCLOFILP01","UsuariosSR","P:\INCLOCLU01_U\U\Usuarios\UsuariosSR","SURAMERICANA\Domain Users","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP01","UsuariosSR","P:\INCLOCLU01_U\U\Usuarios\UsuariosSR","SURAMERICANA\GS IN Administradores Archivos y Carpetas","FullControl","Allow","True"
"SGCLOFILP01","UsuariosSR","P:\INCLOCLU01_U\U\Usuarios\UsuariosSR","SURAMERICANA\msadmin02","FullControl","Allow","True"
"SGCLOFILP01","UsuariosSR","P:\INCLOCLU01_U\U\Usuarios\UsuariosSR","SURAMERICANA\GS SR CALI CAS","FullControl","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","Everyone","ReadAndExecute, Synchronize","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","Everyone","-1610612736","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","CREATOR OWNER","268435456","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","NT AUTHORITY\SYSTEM","268435456","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","BUILTIN\Administrators","268435456","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","BUILTIN\Administrators","FullControl","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","-1610612736","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","S-1-15-3-1024-4044835139-2658482041-3127973164-329287231-3865880861-1938685643-461067658-1087000422","-1610612736","Allow","True"
"SGFILP01","print$","C:\Windows\system32\spool\drivers","S-1-15-3-1024-4044835139-2658482041-3127973164-329287231-3865880861-1938685643-461067658-1087000422","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","Everyone","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","Everyone","-1610612736","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","CREATOR OWNER","268435456","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","NT AUTHORITY\SYSTEM","268435456","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","BUILTIN\Administrators","268435456","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","BUILTIN\Administrators","FullControl","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","-1610612736","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","S-1-15-3-1024-4044835139-2658482041-3127973164-329287231-3865880861-1938685643-461067658-1087000422","-1610612736","Allow","True"
"SGCLOFILP02","print$","C:\Windows\system32\spool\drivers","S-1-15-3-1024-4044835139-2658482041-3127973164-329287231-3865880861-1938685643-461067658-1087000422","ReadAndExecute, Synchronize","Allow","True"
